@RELATION gradientboostingx0.1x0.1x0.05x0.05
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {Wood_Thrush_clean,Sparrow_clean,American_Goldfinch_clean,Scarlet_Tanager_clean,Robin_clean}

@DATA
0.182593,0.004177,2.666254,0.213929,0.118467,0.877893,0.009229,0.222379,-36.139697,-2.066895,1.336779,-0.755434,0.262553,-0.088535,-0.059583,0.015421,0.021627,-0.064478,0.073679,-0.059607,0.023835,0.002462,0.002253,0.002090,0.001995,0.002951,0.002462,0.001872,0.000913,0.001747,0.003776,0.002360,0.002070,0.003306,0.015905,0.002816,0.273785,0.017308,0.016947,0.138844,0.003191,0.021415,1.594748,0.552969,0.326515,0.230444,0.187675,0.179395,0.170644,0.131029,0.097947,0.084482,0.078471,0.073055,0.063317,0.001266,0.001119,0.001075,0.001200,0.001317,0.001228,0.000993,0.000482,0.000915,0.001955,0.001154,0.001167,0.001150,Wood_Thrush_clean
0.071634,0.012787,2.901619,0.133028,0.159496,0.261789,0.019495,0.085551,-29.762483,1.145161,0.832763,0.315466,0.332119,0.200881,0.134800,0.091695,0.140361,0.135064,0.106423,0.098024,-0.015934,0.003343,0.001220,0.063897,0.002340,0.045511,0.002898,0.051062,0.001419,0.001267,0.007180,0.022028,0.001639,0.030295,0.008841,0.004289,0.143478,0.014629,0.015188,0.089276,0.006458,0.013612,0.766310,0.257637,0.162455,0.149118,0.140265,0.116556,0.102110,0.102064,0.094544,0.093846,0.093120,0.086832,0.080269,0.001579,0.000650,0.017207,0.001323,0.013154,0.001307,0.018092,0.000802,0.000625,0.003240,0.008657,0.000895,0.004555,Wood_Thrush_clean
0.137499,0.029886,2.998624,0.181965,0.136974,0.516190,0.021628,0.160152,-30.951417,-2.048296,1.023702,-0.250068,-0.136412,0.315430,-0.261114,0.181816,-0.096660,0.084688,-0.056534,0.074567,-0.072731,0.001855,0.003534,0.008182,0.003117,0.005115,0.003104,0.009359,0.002246,0.002019,0.002759,0.002837,0.005509,0.009310,0.011218,0.009464,0.133744,0.014973,0.016525,0.124560,0.007690,0.015201,1.030502,0.471047,0.221631,0.161376,0.132856,0.121662,0.104487,0.098294,0.093822,0.097188,0.087074,0.068380,0.059615,0.001309,0.002622,0.004316,0.001630,0.002457,0.002153,0.004804,0.001484,0.001328,0.001294,0.001458,0.003503,0.003775,Wood_Thrush_clean
0.175680,0.017110,2.804788,0.214157,0.125077,0.509323,0.019235,0.205684,-32.706466,-1.666479,0.950643,-0.520617,0.230388,-0.081997,0.021917,-0.012939,0.012423,-0.014274,0.044394,-0.037679,0.039283,0.004959,0.001333,0.004839,0.001076,0.001904,0.000606,0.003955,0.000590,0.002077,0.003351,0.003541,0.001393,0.005652,0.009994,0.004856,0.160733,0.013541,0.016329,0.104697,0.007913,0.012907,1.122043,0.389480,0.194735,0.148980,0.131113,0.111002,0.101434,0.091744,0.085028,0.077566,0.065185,0.063180,0.062524,0.003155,0.000930,0.001096,0.000591,0.001062,0.000402,0.002070,0.000379,0.001114,0.001834,0.001591,0.000931,0.002416,Wood_Thrush_clean
0.080730,0.007182,2.933634,0.134764,0.150300,0.375002,0.020607,0.098255,-30.925381,2.240642,0.908748,0.227973,0.070673,0.134706,-0.167428,-0.009243,-0.108175,-0.011685,-0.046356,0.055389,0.030398,0.028216,0.000997,0.061014,0.018410,0.030018,0.017337,0.019381,0.000960,0.006197,0.005687,0.021346,0.001535,0.030248,0.013869,0.002541,0.182312,0.020559,0.020278,0.118299,0.008933,0.018855,1.187411,0.444338,0.298768,0.204315,0.203645,0.159081,0.141816,0.134176,0.127124,0.120389,0.102689,0.100777,0.080335,0.012267,0.000548,0.017941,0.010190,0.012543,0.008020,0.008257,0.000489,0.003105,0.003021,0.008259,0.000810,0.005564,Wood_Thrush_clean
0.168890,0.038465,2.807596,0.205146,0.130173,0.495329,0.020952,0.189363,-31.964186,-2.075520,1.051342,-0.468941,0.080772,0.083403,-0.131187,0.106049,-0.074365,0.053009,-0.044615,0.037844,-0.021862,0.001536,0.002443,0.004586,0.001343,0.002545,0.001278,0.000775,0.001541,0.002939,0.000831,0.002475,0.003080,0.004799,0.010952,0.009791,0.209781,0.012954,0.014446,0.130670,0.006573,0.013473,1.270573,0.401287,0.222414,0.189619,0.160752,0.131864,0.117504,0.121502,0.118814,0.101799,0.080367,0.077796,0.079010,0.001027,0.001715,0.002812,0.000887,0.001776,0.000782,0.000507,0.000857,0.001647,0.000527,0.001664,0.001833,0.002156,Wood_Thrush_clean
0.171720,0.037358,2.833732,0.207645,0.130493,0.519694,0.022216,0.193700,-32.701194,-2.131380,1.027447,-0.433817,0.028873,0.115834,-0.149396,0.104422,-0.064171,0.038385,-0.027345,0.026173,-0.011087,0.002433,0.002101,0.003562,0.001699,0.002582,0.001155,0.000782,0.002248,0.003325,0.001220,0.001973,0.002441,0.004848,0.011264,0.010390,0.208050,0.012262,0.013604,0.125450,0.006962,0.013710,1.320804,0.453314,0.236660,0.204589,0.173324,0.141208,0.123066,0.125618,0.117553,0.102452,0.085465,0.079593,0.075575,0.001495,0.001537,0.002535,0.001112,0.002038,0.000673,0.000486,0.001381,0.001750,0.000736,0.001415,0.001570,0.002358,Wood_Thrush_clean
0.174806,0.032652,2.823242,0.214761,0.137019,0.609320,0.023778,0.200591,-32.678749,-1.785594,0.970135,-0.437852,0.016726,-0.013244,-0.170087,0.029390,-0.073920,0.042089,-0.013561,0.072134,-0.005898,0.001289,0.002945,0.002664,0.001692,0.002705,0.001840,0.003904,0.002126,0.003241,0.001311,0.002092,0.003273,0.005936,0.012772,0.012218,0.232495,0.014408,0.014333,0.124926,0.008772,0.012957,1.323123,0.473717,0.272899,0.242740,0.204232,0.166376,0.128301,0.115884,0.100006,0.078926,0.072924,0.067867,0.064543,0.000825,0.001579,0.002033,0.000960,0.001790,0.001427,0.003113,0.001336,0.002638,0.000920,0.001202,0.002347,0.002968,Wood_Thrush_clean
0.035566,0.016541,2.929092,0.096063,0.156953,0.116038,0.031030,0.042442,-29.207978,3.007458,1.041707,0.482006,0.117561,0.049220,-0.268495,-0.172474,-0.233467,-0.166815,-0.181996,-0.134187,-0.122512,0.040517,0.000855,0.033547,0.016921,0.021395,0.015733,0.033271,0.000520,0.005483,0.032152,0.036894,0.001113,0.032271,0.004079,0.004623,0.140832,0.017653,0.022973,0.043797,0.009572,0.005134,0.923924,0.420171,0.201561,0.144944,0.130018,0.118707,0.106976,0.103882,0.099234,0.092889,0.085618,0.081681,0.075941,0.017068,0.000490,0.013195,0.008614,0.009887,0.008039,0.013093,0.000283,0.003071,0.014194,0.015536,0.000631,0.004867,Wood_Thrush_clean
0.066042,0.012958,2.859947,0.117490,0.145078,0.281998,0.019232,0.082928,-30.187602,1.920153,0.507773,-0.355480,-0.291762,-0.150310,-0.257441,0.066704,-0.222031,-0.056562,-0.210131,0.049017,-0.008894,0.029103,0.005237,0.055928,0.012770,0.017358,0.025695,0.012267,0.001093,0.008747,0.004340,0.008129,0.004737,0.026979,0.008308,0.005994,0.190170,0.018198,0.022452,0.081970,0.006288,0.013278,1.170715,0.417896,0.293069,0.216619,0.224890,0.198344,0.161758,0.147139,0.110223,0.104579,0.119786,0.080813,0.096534,0.013812,0.002829,0.016660,0.008099,0.009261,0.013369,0.005834,0.000635,0.004341,0.001953,0.004012,0.003300,0.004399,Wood_Thrush_clean
