@RELATION gradientboostingx0.5x0.5x0.05x0.05
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {Wood_Thrush_clean,Sparrow_clean,American_Goldfinch_clean,Scarlet_Tanager_clean,Robin_clean}

@DATA
0.182523,0.004148,2.666656,0.213982,0.118420,0.882249,0.009384,0.222580,-36.114961,-2.052327,1.333685,-0.750095,0.257818,-0.089375,-0.056494,0.013348,0.025008,-0.065007,0.070248,-0.058626,0.019341,0.002460,0.002251,0.002085,0.001986,0.002948,0.002444,0.001862,0.000907,0.001736,0.003751,0.002352,0.002086,0.003290,0.036589,0.005526,0.478190,0.034874,0.029519,0.302934,0.007607,0.050219,3.358327,1.052270,0.585424,0.438541,0.392814,0.367713,0.335480,0.257964,0.196747,0.165480,0.144486,0.138399,0.122178,0.002800,0.002738,0.002524,0.002542,0.003478,0.002803,0.002333,0.000982,0.002206,0.004511,0.002534,0.002700,0.002618,Wood_Thrush_clean
0.071537,0.012775,2.901485,0.132938,0.159515,0.261423,0.019499,0.085432,-29.761533,1.148206,0.832639,0.316486,0.332574,0.200679,0.135113,0.092059,0.140541,0.135198,0.106679,0.098026,-0.015897,0.003340,0.001219,0.063916,0.002338,0.045523,0.002895,0.051084,0.001417,0.001266,0.007216,0.022111,0.001637,0.030307,0.027141,0.011102,0.275639,0.034397,0.027462,0.224428,0.013746,0.041935,1.953801,0.578399,0.375802,0.342885,0.335334,0.273866,0.238293,0.229367,0.211327,0.207172,0.190368,0.167233,0.157144,0.003323,0.002105,0.034320,0.002989,0.024995,0.004211,0.032341,0.002076,0.001605,0.006701,0.015974,0.002108,0.008692,Wood_Thrush_clean
0.135339,0.029442,3.000468,0.180004,0.137209,0.507638,0.021760,0.157552,-30.923100,-1.942315,1.030597,-0.232614,-0.136628,0.306240,-0.269247,0.188059,-0.099618,0.087700,-0.060511,0.071950,-0.075571,0.001926,0.003508,0.008123,0.003117,0.005218,0.003890,0.010899,0.002207,0.002029,0.004105,0.002978,0.005423,0.009859,0.040379,0.028278,0.290738,0.041444,0.032350,0.315168,0.016076,0.058010,2.791949,0.903022,0.503063,0.436388,0.407228,0.349829,0.324224,0.312988,0.284587,0.255644,0.216903,0.175863,0.159677,0.002873,0.006609,0.008693,0.004143,0.005607,0.005756,0.012131,0.003269,0.003999,0.004142,0.003510,0.009847,0.007502,Wood_Thrush_clean
0.174220,0.016939,2.807147,0.212565,0.125043,0.509310,0.019186,0.204199,-32.662765,-1.606754,0.958936,-0.524234,0.231592,-0.082894,0.022428,-0.019200,0.014928,-0.014907,0.042927,-0.037664,0.038844,0.004984,0.001337,0.005304,0.001878,0.002719,0.000663,0.004051,0.000586,0.002115,0.003405,0.003578,0.001387,0.005923,0.045441,0.014898,0.343993,0.044402,0.031078,0.373396,0.016260,0.063720,2.678994,0.873886,0.491945,0.404447,0.371922,0.323363,0.269295,0.224814,0.204325,0.186600,0.158784,0.145099,0.146950,0.007633,0.002416,0.003766,0.001565,0.002608,0.000928,0.005872,0.001026,0.002789,0.004542,0.003852,0.002102,0.004957,Wood_Thrush_clean
0.079986,0.007096,2.922167,0.134079,0.150775,0.370111,0.020810,0.097095,-30.919913,2.265655,0.912136,0.234734,0.071631,0.131563,-0.168660,-0.012674,-0.110045,-0.013249,-0.047294,0.054650,0.029211,0.028680,0.000987,0.061517,0.018949,0.030061,0.017197,0.019191,0.000948,0.006283,0.005792,0.021208,0.001521,0.030248,0.047138,0.006391,0.336885,0.053132,0.036255,0.340029,0.015183,0.071538,2.993853,1.028451,0.682330,0.447033,0.446406,0.370203,0.278128,0.277685,0.269277,0.235829,0.216207,0.204886,0.178976,0.030210,0.001305,0.037472,0.023435,0.028752,0.020249,0.017986,0.001260,0.007885,0.005767,0.017517,0.002117,0.012269,Wood_Thrush_clean
0.168710,0.038234,2.809238,0.205211,0.130447,0.493607,0.020903,0.189100,-31.984058,-2.079008,1.054495,-0.472145,0.084160,0.080354,-0.128881,0.104871,-0.073951,0.052984,-0.044502,0.037854,-0.022280,0.001528,0.002463,0.004559,0.001335,0.002531,0.001270,0.000770,0.001777,0.002922,0.000829,0.002460,0.003061,0.004837,0.044408,0.033557,0.466787,0.036385,0.030223,0.321647,0.016491,0.055028,3.202221,0.822108,0.526979,0.546260,0.508667,0.404115,0.334449,0.327761,0.307589,0.242589,0.184864,0.175297,0.179575,0.002531,0.004284,0.008776,0.002385,0.004719,0.001702,0.001211,0.002182,0.004584,0.001259,0.004090,0.005337,0.005034,Wood_Thrush_clean
0.171653,0.037305,2.834138,0.207584,0.130489,0.519451,0.022213,0.193639,-32.707697,-2.132448,1.028054,-0.434433,0.029323,0.115575,-0.149358,0.104514,-0.064293,0.038446,-0.027327,0.026104,-0.011035,0.002430,0.002099,0.003560,0.001700,0.002579,0.001154,0.000782,0.002269,0.003329,0.001218,0.001970,0.002438,0.004851,0.044234,0.037150,0.457638,0.037716,0.026783,0.328948,0.017140,0.056932,3.441842,0.895756,0.538876,0.564064,0.527866,0.417145,0.328134,0.320874,0.304027,0.246759,0.192591,0.180916,0.182186,0.003973,0.003687,0.007393,0.002751,0.005195,0.001578,0.001216,0.003892,0.005122,0.001722,0.003475,0.004298,0.005353,Wood_Thrush_clean
0.176855,0.031708,2.814684,0.215873,0.136387,0.625174,0.023219,0.203299,-32.769560,-1.792710,0.988630,-0.456256,0.032841,-0.017709,-0.166271,0.031582,-0.072923,0.039821,-0.010250,0.067401,-0.004475,0.001289,0.002865,0.002596,0.001674,0.002634,0.001800,0.003810,0.002072,0.003158,0.001340,0.002121,0.003216,0.005798,0.052367,0.030796,0.450773,0.045998,0.026826,0.332335,0.018835,0.061433,3.357980,0.980208,0.559344,0.537734,0.490453,0.406408,0.333370,0.291638,0.238972,0.188916,0.178707,0.184464,0.165540,0.001961,0.003758,0.004910,0.002326,0.005000,0.003911,0.008754,0.002719,0.005717,0.001986,0.003604,0.006025,0.006290,Wood_Thrush_clean
0.035537,0.016543,2.929130,0.096050,0.156970,0.115940,0.031019,0.042411,-29.206033,3.008547,1.041573,0.482069,0.117455,0.049496,-0.268227,-0.172207,-0.232679,-0.166270,-0.181619,-0.134058,-0.122484,0.040481,0.000855,0.033585,0.016907,0.021440,0.015719,0.033280,0.000520,0.005484,0.032168,0.036883,0.001114,0.032275,0.012145,0.011103,0.255560,0.034994,0.043300,0.096085,0.019479,0.015299,1.939381,0.867412,0.436947,0.306946,0.283654,0.259252,0.241125,0.219617,0.203717,0.185614,0.172303,0.163490,0.148756,0.032103,0.001154,0.026724,0.016863,0.018476,0.015779,0.024726,0.000889,0.006462,0.026621,0.028323,0.001418,0.009504,Wood_Thrush_clean
0.070479,0.013207,2.864030,0.120704,0.143539,0.294356,0.018664,0.087708,-30.269600,1.761609,0.547323,-0.386798,-0.249620,-0.167319,-0.232791,0.054258,-0.207615,-0.057499,-0.201877,0.049118,-0.011726,0.028092,0.005051,0.053990,0.012374,0.016746,0.024764,0.011852,0.001063,0.008447,0.004217,0.007879,0.004736,0.026066,0.025995,0.013665,0.367686,0.034471,0.036357,0.223981,0.012435,0.041984,3.350199,0.925119,0.702396,0.483099,0.542425,0.442611,0.334762,0.262962,0.244489,0.208861,0.214655,0.207199,0.168340,0.030358,0.006166,0.035314,0.017357,0.020431,0.030175,0.011608,0.001741,0.008617,0.003822,0.007842,0.007035,0.008330,Wood_Thrush_clean
