@RELATION gradientboostingx0.1x1.0x0.05x0.1
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {Goldfinch_clean,Thrush_clean}

@DATA
0.140608,0.019700,2.046330,0.184668,0.103506,0.562455,0.007457,0.170335,-35.269821,0.526093,0.600719,-0.040727,0.239251,-0.141385,0.060881,-0.170797,0.044407,-0.124790,0.080068,-0.076706,0.106958,0.026077,0.011953,0.026049,0.018857,0.005448,0.001629,0.004845,0.004980,0.000466,0.002568,0.002732,0.003902,0.019910,0.040628,0.013081,0.497528,0.050226,0.043329,0.354341,0.009939,0.058219,4.067810,0.843202,0.343039,0.270769,0.238797,0.234476,0.207937,0.184681,0.162698,0.152758,0.132787,0.127835,0.119160,0.016230,0.010123,0.020572,0.018705,0.007060,0.001986,0.006392,0.006337,0.000726,0.003759,0.002817,0.005811,0.010631,Goldfinch_clean
0.089924,0.007759,2.930464,0.215889,0.221628,0.810907,0.003185,0.137850,-28.885859,1.409919,2.210799,0.177825,0.958291,0.311968,0.305939,0.386516,-0.039690,0.245914,0.020135,0.185030,0.085184,0.036823,0.000993,0.048984,0.016740,0.087455,0.004885,0.066112,0.000471,0.002222,0.043099,0.041637,0.001884,0.041184,0.036535,0.004605,0.216202,0.024133,0.031308,0.330373,0.001791,0.075312,1.283299,0.452269,0.630424,0.299348,0.236628,0.218658,0.176861,0.168264,0.170457,0.154051,0.147664,0.139599,0.129698,0.031719,0.000928,0.032759,0.014500,0.070882,0.004735,0.047470,0.000602,0.002303,0.034825,0.028291,0.002043,0.016515,Goldfinch_clean
0.168234,0.006560,2.048968,0.226924,0.141555,0.320165,0.037030,0.196601,-35.521939,-0.647783,0.386036,-0.239859,0.315369,-0.250242,0.187707,-0.119077,0.152800,-0.120246,0.081709,-0.055674,0.076773,0.002493,0.001046,0.003428,0.004649,0.000392,0.000832,0.000118,0.000028,0.000118,0.000924,0.000277,0.000849,0.003495,0.040109,0.008479,0.691607,0.055845,0.054401,0.413687,0.080427,0.039938,3.480092,0.728518,0.468097,0.352063,0.247352,0.230137,0.237213,0.167635,0.167923,0.133386,0.143236,0.133939,0.122826,0.005206,0.002668,0.006429,0.013589,0.000883,0.001801,0.000290,0.000050,0.000239,0.002870,0.000590,0.001823,0.005650,Goldfinch_clean
0.117626,0.002330,2.618672,0.202511,0.188374,0.837573,0.001520,0.157157,-31.262585,0.658727,1.047740,-0.275224,-0.261604,-0.343165,-0.304546,-0.116657,-0.125721,-0.091215,0.011352,-0.078408,0.027190,0.013604,0.005669,0.006491,0.018377,0.019306,0.016854,0.012881,0.005395,0.007029,0.005666,0.004865,0.011614,0.018649,0.043917,0.003047,0.572929,0.026347,0.052917,0.371230,0.001092,0.071478,1.311820,1.120404,0.762163,0.442301,0.315248,0.266330,0.201002,0.163321,0.150935,0.138827,0.131538,0.116808,0.116014,0.014050,0.006414,0.006715,0.016486,0.014121,0.013100,0.011829,0.005944,0.006960,0.005495,0.004521,0.012866,0.014224,Thrush_clean
0.108761,0.001877,2.804007,0.189815,0.196415,0.715468,0.002239,0.132891,-30.781552,1.048459,0.589927,-0.243751,-0.480920,-0.394149,-0.494237,-0.200078,-0.222600,-0.139849,-0.075593,-0.162716,-0.057518,0.015007,0.009293,0.011094,0.014050,0.013786,0.011527,0.009231,0.007242,0.009069,0.007416,0.006992,0.008790,0.012598,0.034260,0.002426,0.451930,0.031663,0.041192,0.343248,0.001617,0.058476,1.181991,0.912580,0.598598,0.348236,0.300720,0.254759,0.215742,0.169932,0.161554,0.142826,0.132203,0.127629,0.125311,0.011828,0.009325,0.011009,0.013305,0.009884,0.010082,0.009222,0.007678,0.008758,0.007309,0.006523,0.008349,0.007256,Thrush_clean
0.048081,0.005773,2.969049,0.125428,0.176635,0.275954,0.006060,0.058388,-31.196210,1.430597,0.692531,0.704785,0.395075,0.213072,0.114146,0.159652,0.171598,0.125957,0.202658,0.105643,0.064657,0.029067,0.001587,0.092371,0.057887,0.055600,0.006896,0.063753,0.000839,0.002923,0.016550,0.032618,0.001725,0.043975,0.025464,0.005761,0.216990,0.025875,0.020870,0.219752,0.004306,0.043937,1.000980,0.492667,0.278081,0.288354,0.272814,0.216747,0.173693,0.162605,0.160007,0.154259,0.140589,0.118084,0.119162,0.023145,0.002164,0.065559,0.031233,0.045909,0.007764,0.048202,0.001376,0.002964,0.013881,0.024089,0.001854,0.016623,Thrush_clean
0.197139,0.014797,2.925271,0.226021,0.116533,0.703034,0.005861,0.230438,-33.631884,-2.294503,1.143745,-0.436608,-0.028524,0.150713,-0.156191,0.071004,-0.022318,0.023719,-0.053355,0.082330,-0.107586,0.001186,0.002153,0.001245,0.000588,0.001474,0.000231,0.000708,0.001301,0.001266,0.001418,0.001272,0.001491,0.002756,0.069681,0.019077,0.356262,0.064862,0.025264,0.399289,0.005184,0.089070,3.266394,1.048651,0.619489,0.627757,0.657440,0.541719,0.415009,0.315833,0.287039,0.266362,0.257750,0.262903,0.250483,0.002412,0.004357,0.002274,0.001127,0.003197,0.000346,0.001361,0.002202,0.002263,0.002729,0.002553,0.002829,0.003419,Thrush_clean
0.186711,0.003613,3.096258,0.291800,0.245817,1.177404,0.002203,0.212821,-33.294965,0.626567,1.327839,0.067828,0.152701,0.002907,-0.002933,-0.008921,-0.193332,-0.022874,-0.094503,-0.082070,0.054778,0.010579,0.005222,0.010245,0.005851,0.005857,0.004016,0.005658,0.001025,0.002609,0.003265,0.005401,0.005558,0.006451,0.028774,0.004961,0.224699,0.030676,0.022902,0.274830,0.001782,0.048856,0.987510,0.568933,0.333842,0.284539,0.278024,0.247817,0.219815,0.201974,0.184730,0.172502,0.150982,0.140173,0.128253,0.009084,0.005348,0.008535,0.005526,0.005146,0.003703,0.004671,0.001182,0.002619,0.003227,0.004899,0.004898,0.003805,Thrush_clean
0.184568,0.004616,3.103798,0.260564,0.219406,1.230657,0.002454,0.206657,-31.118356,0.923266,1.257580,0.202702,0.174539,-0.021943,-0.157482,0.023566,-0.089304,0.052423,-0.002054,0.110618,0.035645,0.013365,0.004377,0.014256,0.009561,0.013740,0.004787,0.012786,0.001651,0.002183,0.003285,0.006894,0.005026,0.010423,0.028117,0.005847,0.200497,0.030848,0.019364,0.297300,0.001864,0.045410,0.982803,0.552952,0.366193,0.298985,0.292631,0.236628,0.203209,0.176911,0.174404,0.166738,0.142433,0.131651,0.127106,0.013218,0.005674,0.011835,0.010250,0.009732,0.004805,0.009185,0.001985,0.002572,0.003113,0.006481,0.006144,0.005730,Thrush_clean
0.164348,0.002908,3.008052,0.243833,0.212591,1.144661,0.002494,0.219400,-32.481132,0.670664,0.850952,-0.080421,0.257485,0.039122,0.046484,0.143368,0.168326,-0.024095,0.140971,0.086422,0.008094,0.012201,0.002780,0.031666,0.008682,0.029347,0.004268,0.030344,0.001410,0.003466,0.009170,0.017632,0.003348,0.017520,0.039935,0.003658,0.337376,0.028952,0.036855,0.374935,0.002257,0.061791,0.821453,0.586211,0.367631,0.285551,0.285068,0.260057,0.211456,0.169423,0.182049,0.172186,0.153090,0.149378,0.140556,0.012106,0.003232,0.027656,0.009171,0.028414,0.004149,0.027901,0.001307,0.003775,0.008471,0.015599,0.003146,0.011229,Thrush_clean
