@RELATION gradientboostingx1.0x1.0x0.01x0.01
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {Goldfinch_clean,Thrush_clean}

@DATA
0.143296,0.019285,2.730799,0.199127,0.145484,0.407115,0.042521,0.154460,-38.712013,-1.810076,-0.420122,0.147009,0.697527,0.356583,0.251124,-0.075867,-0.001149,0.081321,0.429739,0.496775,0.397291,0.003528,0.004375,0.004977,0.005765,0.006213,0.017720,0.002423,0.001073,0.000535,0.003848,0.055926,0.001692,0.024659,0.053023,0.023202,0.451495,0.060134,0.046047,0.348099,0.038740,0.066702,3.939375,1.029765,0.465859,0.218831,0.281250,0.255608,0.170132,0.138952,0.127049,0.114938,0.164908,0.208910,0.142506,0.010279,0.011807,0.012118,0.013887,0.014986,0.023420,0.005530,0.004033,0.001085,0.012431,0.041513,0.005599,0.011833,Goldfinch_clean
0.088506,0.007711,2.850992,0.204128,0.231640,0.674088,0.024636,0.113580,-33.734451,-1.507497,-0.064844,0.342523,1.396993,0.874771,0.573408,0.284532,-0.000943,0.423281,0.603683,0.919918,0.552535,0.002157,0.001595,0.002580,0.001088,0.001331,0.011837,0.001286,0.001944,0.002797,0.001591,0.155270,0.001567,0.043493,0.060051,0.008225,0.253004,0.039893,0.032853,0.394046,0.019210,0.086535,1.524580,0.479677,0.742383,0.330180,0.279966,0.247063,0.243238,0.242310,0.215948,0.211178,0.209983,0.212839,0.190667,0.005755,0.004498,0.003860,0.003548,0.003521,0.012120,0.003312,0.004528,0.005262,0.003879,0.056637,0.003943,0.014683,Goldfinch_clean
0.166577,0.007080,3.048608,0.252772,0.174784,0.441185,0.043680,0.201699,-40.418574,-2.445501,-0.373617,-0.014204,0.677828,0.198258,0.297232,-0.056962,0.061915,0.022601,0.349470,0.381228,0.313034,0.005769,0.007906,0.020621,0.006516,0.000769,0.009487,0.002168,0.000477,0.000401,0.000907,0.022068,0.002751,0.017972,0.057373,0.015948,0.309414,0.095626,0.072572,0.537616,0.119723,0.100529,4.892101,1.316069,0.536117,0.285076,0.346606,0.246122,0.217459,0.177645,0.169508,0.142790,0.210582,0.226735,0.189777,0.016893,0.020393,0.035468,0.013798,0.001101,0.021123,0.006006,0.000899,0.000648,0.002455,0.052812,0.010551,0.015651,Goldfinch_clean
0.116842,0.002338,2.981466,0.206346,0.207131,0.841937,0.014186,0.150842,-37.073677,-1.650941,-0.428095,0.065114,0.524748,0.299002,0.141524,-0.022690,-0.134624,0.075058,0.456635,0.544327,0.421692,0.004361,0.003294,0.014443,0.003446,0.004565,0.030686,0.002871,0.003764,0.006625,0.003788,0.055676,0.003293,0.020408,0.058240,0.005948,0.216463,0.036251,0.045995,0.458764,0.011676,0.082826,1.586958,0.991423,0.597620,0.437729,0.419117,0.378628,0.330350,0.298583,0.294785,0.281392,0.276971,0.288976,0.277531,0.004979,0.004934,0.013596,0.005459,0.006373,0.024383,0.004653,0.004717,0.006848,0.005560,0.035849,0.004472,0.009623,Thrush_clean
0.108540,0.001892,2.935555,0.200611,0.212234,0.755375,0.013974,0.134973,-36.692310,-1.681066,-0.758755,0.060381,0.376737,0.318250,0.011131,-0.050637,-0.190399,0.062912,0.430285,0.519855,0.378741,0.005935,0.003648,0.020103,0.003557,0.004993,0.033234,0.002968,0.003994,0.007090,0.003285,0.047995,0.003036,0.019300,0.046849,0.004584,0.253210,0.037893,0.041073,0.398391,0.010914,0.066786,1.506751,0.860044,0.569993,0.406616,0.404014,0.382106,0.342091,0.305276,0.303308,0.284219,0.278474,0.289296,0.281100,0.007229,0.005361,0.016789,0.005607,0.006221,0.022975,0.004781,0.005109,0.006923,0.004552,0.029723,0.004365,0.007441,Thrush_clean
0.048063,0.005806,2.838722,0.135323,0.190173,0.305647,0.039419,0.059035,-36.496091,-1.270071,-0.586642,0.701064,0.953409,0.731814,0.412480,0.201742,0.100924,0.252055,0.622269,0.703684,0.474103,0.002241,0.002012,0.004036,0.001855,0.001543,0.011653,0.001328,0.001252,0.002501,0.002065,0.160366,0.002207,0.046023,0.035977,0.008007,0.247728,0.038891,0.029668,0.268079,0.041087,0.053727,1.334128,0.589225,0.407500,0.372182,0.353418,0.327061,0.298719,0.282162,0.284172,0.271710,0.265427,0.267190,0.261087,0.003984,0.003880,0.005782,0.004163,0.002831,0.013674,0.003344,0.002173,0.004190,0.003692,0.043477,0.004398,0.010819,Thrush_clean
0.195902,0.014870,3.111672,0.241821,0.147433,0.669214,0.023140,0.222976,-36.852843,-4.086476,-0.141819,-0.042959,0.574146,0.549478,0.121908,0.032342,-0.048215,0.120154,0.341324,0.564550,0.264371,0.005706,0.004790,0.010382,0.006491,0.004068,0.009768,0.003265,0.011147,0.007187,0.009140,0.005668,0.008265,0.015433,0.078271,0.024592,0.179690,0.065821,0.032763,0.418386,0.021772,0.090625,2.942608,0.956333,0.589572,0.502815,0.513080,0.436813,0.330756,0.260877,0.249288,0.241806,0.248700,0.234942,0.206160,0.010715,0.009959,0.021180,0.014982,0.008914,0.016246,0.006355,0.020211,0.014736,0.015181,0.011033,0.017131,0.011269,Thrush_clean
0.186583,0.003627,3.103976,0.296584,0.250012,1.224818,0.010849,0.230639,-38.559660,-1.938032,0.059289,0.090634,0.649981,0.410865,0.265222,0.054669,-0.136506,0.134758,0.386154,0.539786,0.437037,0.012716,0.017190,0.008939,0.004049,0.003880,0.013499,0.004578,0.002562,0.003247,0.003152,0.022272,0.004963,0.013202,0.040731,0.006482,0.139290,0.037360,0.024943,0.382591,0.009865,0.079591,1.362099,0.682156,0.479930,0.375987,0.361310,0.346697,0.330071,0.301051,0.299013,0.287535,0.269301,0.277245,0.272432,0.012419,0.016319,0.008759,0.005783,0.006481,0.012717,0.006672,0.003759,0.004269,0.004770,0.015371,0.005976,0.006210,Thrush_clean
0.183857,0.004640,3.063190,0.267314,0.223715,1.248362,0.011761,0.213914,-36.719120,-1.928980,-0.044686,0.263705,0.830202,0.550140,0.232822,0.140008,-0.050741,0.239613,0.503926,0.747908,0.452222,0.003214,0.003302,0.004874,0.003230,0.009704,0.022575,0.006328,0.003367,0.003238,0.002199,0.033545,0.002006,0.014609,0.038099,0.007001,0.146073,0.035695,0.022525,0.370528,0.009651,0.054217,1.365092,0.646084,0.505883,0.393941,0.377279,0.355284,0.327272,0.304659,0.309485,0.295124,0.284148,0.284232,0.282130,0.005399,0.005774,0.006221,0.004582,0.010157,0.017999,0.007420,0.004850,0.004643,0.003923,0.021634,0.003456,0.006968,Thrush_clean
0.164200,0.002907,3.100434,0.247712,0.222620,1.158982,0.013604,0.216838,-37.849159,-1.926624,-0.296127,0.157083,0.848164,0.536839,0.312201,0.160177,0.098620,0.125454,0.529515,0.616970,0.391620,0.008386,0.004470,0.008367,0.003334,0.005464,0.012882,0.003753,0.004647,0.005571,0.005253,0.062681,0.004866,0.021117,0.051330,0.005386,0.168218,0.034718,0.034159,0.423520,0.013155,0.071109,1.178804,0.686337,0.456057,0.389004,0.387773,0.361672,0.337195,0.311523,0.317089,0.302018,0.284968,0.290698,0.286974,0.011451,0.007611,0.009131,0.005660,0.008200,0.011787,0.006251,0.006415,0.005962,0.007482,0.040354,0.007541,0.010882,Thrush_clean
